region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,505,1,50501
Midwest,IA,505,1,50510
Midwest,IA,505,1,50511
Midwest,IA,505,1,50514
Midwest,IA,505,1,50515
Midwest,IA,505,1,50516
Midwest,IA,505,1,50517
Midwest,IA,505,1,50518
Midwest,IA,505,1,50519
Midwest,IA,505,1,50520
Midwest,IA,505,1,50521
Midwest,IA,505,1,50522
Midwest,IA,505,1,50523
Midwest,IA,505,1,50524
Midwest,IA,505,1,50525
Midwest,IA,505,1,50526
Midwest,IA,505,1,50527
Midwest,IA,505,1,50528
Midwest,IA,505,1,50529
Midwest,IA,505,1,50530
Midwest,IA,505,1,50531
Midwest,IA,505,1,50532
Midwest,IA,505,1,50533
Midwest,IA,505,1,50535
Midwest,IA,505,1,50536
Midwest,IA,505,1,50538
Midwest,IA,505,1,50539
Midwest,IA,505,1,50540
Midwest,IA,505,1,50541
Midwest,IA,505,1,50542
Midwest,IA,505,1,50543
Midwest,IA,505,1,50544
Midwest,IA,505,1,50545
Midwest,IA,505,1,50546
Midwest,IA,505,1,50548
Midwest,IA,505,1,50551
Midwest,IA,505,1,50552
Midwest,IA,505,1,50554
Midwest,IA,505,1,50556
Midwest,IA,505,1,50557
Midwest,IA,505,1,50558
Midwest,IA,505,1,50559
Midwest,IA,505,1,50560
Midwest,IA,505,1,50561
Midwest,IA,505,1,50562
Midwest,IA,505,1,50563
Midwest,IA,505,1,50565
Midwest,IA,505,1,50566
Midwest,IA,505,1,50567
Midwest,IA,505,1,50568
Midwest,IA,505,1,50569
Midwest,IA,505,1,50570
Midwest,IA,505,1,50571
Midwest,IA,505,1,50573
Midwest,IA,505,1,50574
Midwest,IA,505,1,50575
Midwest,IA,505,1,50576
Midwest,IA,505,1,50577
Midwest,IA,505,1,50578
Midwest,IA,505,1,50579
Midwest,IA,505,1,50581
Midwest,IA,505,1,50582
Midwest,IA,505,1,50583
Midwest,IA,505,1,50585
Midwest,IA,505,1,50586
Midwest,IA,505,1,50588
Midwest,IA,505,1,50590
Midwest,IA,505,1,50591
Midwest,IA,505,1,50592
Midwest,IA,505,1,50593
Midwest,IA,505,1,50594
Midwest,IA,505,1,50595
Midwest,IA,505,1,50597
Midwest,IA,505,1,50598
Midwest,IA,505,1,50599
Midwest,IA,506,1,50601
Midwest,IA,506,1,50602
Midwest,IA,506,1,50603
Midwest,IA,506,1,50604
Midwest,IA,506,1,50605
Midwest,IA,506,1,50606
Midwest,IA,506,1,50607
Midwest,IA,506,1,50608
Midwest,IA,506,1,50609
Midwest,IA,506,1,50611
Midwest,IA,506,1,50612
Midwest,IA,506,1,50613
Midwest,IA,506,1,50614
Midwest,IA,506,1,50616
Midwest,IA,506,1,50619
Midwest,IA,506,1,50620
Midwest,IA,506,1,50621
Midwest,IA,506,1,50622
Midwest,IA,506,1,50623
Midwest,IA,506,1,50624
Midwest,IA,506,1,50625
Midwest,IA,506,1,50626
Midwest,IA,506,1,50627
Midwest,IA,506,1,50628
Midwest,IA,506,1,50629
Midwest,IA,506,1,50630
Midwest,IA,506,1,50631
Midwest,IA,506,1,50632
Midwest,IA,506,1,50633
Midwest,IA,506,1,50634
Midwest,IA,506,1,50635
Midwest,IA,506,1,50636
Midwest,IA,506,1,50638
Midwest,IA,506,1,50641
Midwest,IA,506,1,50642
Midwest,IA,506,1,50643
Midwest,IA,506,1,50644
Midwest,IA,506,1,50645
Midwest,IA,506,1,50647
Midwest,IA,506,1,50648
Midwest,IA,506,1,50649
Midwest,IA,506,1,50650
Midwest,IA,506,1,50651
Midwest,IA,506,1,50652
Midwest,IA,506,1,50653
Midwest,IA,506,1,50654
Midwest,IA,506,1,50655
Midwest,IA,506,1,50657
Midwest,IA,506,1,50658
Midwest,IA,506,1,50659
Midwest,IA,506,1,50660
Midwest,IA,506,1,50661
Midwest,IA,506,1,50662
Midwest,IA,506,1,50664
Midwest,IA,506,1,50665
Midwest,IA,506,1,50666
Midwest,IA,506,1,50667
Midwest,IA,506,1,50668
Midwest,IA,506,1,50669
Midwest,IA,506,1,50670
Midwest,IA,506,1,50671
Midwest,IA,506,1,50672
Midwest,IA,506,1,50673
Midwest,IA,506,1,50674
Midwest,IA,506,1,50675
Midwest,IA,506,1,50676
Midwest,IA,506,1,50677
Midwest,IA,506,1,50680
Midwest,IA,506,1,50681
Midwest,IA,506,1,50682
Midwest,IA,507,1,50701
Midwest,IA,507,1,50702
